run,rmse,popsize
8,2.190191886447121,25
9,2.1870849473876564,25
10,2.1831638007582326,25
11,2.179114900579663,25
12,2.1748512243648777,25
13,2.1713868610590503,25
14,2.1695824260080854,25
15,2.1676761204059307,25
16,2.1671270498811936,25
17,2.164953136756062,25
18,2.1617705819430895,25
19,2.1552738727385106,25
20,2.1526895208391106,25
21,2.150456637896689,25
22,2.148981321899441,25
23,2.147055962444838,25
24,2.145221175088435,25
25,2.1424954696300222,25
26,2.139303154294764,25
27,2.137217713338852,25
28,2.1362384552360196,25
29,2.1348558354398177,25
30,2.1307143941303637,25
31,2.129293160671818,25
32,2.1251498154752375,25
33,2.1247222133097967,25
34,2.1234292656556826,25
35,2.1217406943165185,25
36,2.1206335208390548,25
37,2.1196474128877605,25
38,2.1195635213804267,25
39,2.1169041656161216,25
40,2.1163695897001005,25
41,2.113901337926111,25
42,2.1131552636142628,25
43,2.112422692186232,25
44,2.112213573818954,25
45,2.110989357202415,25
46,2.110546032816633,25
47,2.109423731229108,25
48,2.1088253730140485,25
49,2.108128638592537,25
50,2.1081336419146988,25
51,2.1073743415121444,25
52,2.10719880509843,25
53,2.106348337527176,25
54,2.1045033585960224,25
55,2.1038213620295925,25
56,2.103014880432016,25
57,2.101718135600549,25
58,2.1008034472521975,25
59,2.100194138389916,25
60,2.100026451057971,25
61,2.099382186267799,25
62,2.0983230002278512,25
63,2.0979370378568394,25
64,2.096518285485449,25
65,2.0959329657385997,25
66,2.0955739743313107,25
67,2.094577301935102,25
68,2.094054765015868,25
69,2.093258636617615,25
70,2.092375465492265,25
71,2.092113190852054,25
72,2.0919344086803537,25
73,2.091880021815975,25
74,2.0913453332523932,25
75,2.090954065720123,25
76,2.090456560599698,25
77,2.090003245016847,25
78,2.089601581409849,25
79,2.0893305952293786,25
80,2.0890049941632487,25
81,2.088445680636766,25
82,2.088328263071959,25
83,2.0880126900857814,25
84,2.0877947507661228,25
85,2.087625793908725,25
86,2.0874510245108997,25
87,2.086709475661672,25
88,2.08637265462481,25
89,2.086137526878004,25
90,2.0862762075613506,25
91,2.0859324987214305,25
92,2.085897205220206,25
93,2.0856355671437847,25
94,2.0854339417373224,25
95,2.0848823804472456,25
96,2.0848098575308236,25
97,2.084766886631217,25
98,2.084658837554261,25
99,2.0840125716853803,25
0,2.235701354507965,30
1,2.230464594526195,30
2,2.2221319489635345,30
3,2.219983671489965,30
4,2.21225026413998,30
5,2.207408402203865,30
6,2.202542147792259,30
7,2.2002811955205717,30
8,2.193381831152698,30
9,2.189338910997226,30
10,2.183064041131726,30
11,2.1813555809170153,30
12,2.178431201773956,30
13,2.1757102517956506,30
14,2.171001091212921,30
15,2.1682413616058445,30
16,2.1665907103224464,30
17,2.1641861141448016,30
18,2.1579447420330684,30
19,2.1526128445060495,30
20,2.148733011418172,30
21,2.146580006509224,30
22,2.1441333259835695,30
23,2.1399563897181593,30
24,2.138123504859708,30
25,2.1371806082145683,30
26,2.134872777831778,30
27,2.133031552543259,30
28,2.1322007814174797,30
29,2.1298817370515764,30
30,2.1292771989542496,30
31,2.1277451729977614,30
32,2.126377784093789,30
33,2.124514243412349,30
34,2.1225815066453375,30
35,2.120887302635368,30
36,2.1195114717600627,30
37,2.1177802733368205,30
